id,observed_on,out_of_range,created_at,url,image_url,sound_url,description,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,species_guess,scientific_name,common_name,taxon_id
35156,2011-05-07,true,2011-10-11 01:38:06 UTC,http://www.inaturalist.org/observations/35156,https://static.inaturalist.org/photos/59613/medium.jpg,,"Common Crane (Grus grus) otherwise known as the Common Eurasian Crane. First known and well documented sighting in Del Norte County. See my video on YouTube.

http://www.youtube.com/watch?v=12rr5PNAw24&feature=channel_video_title

 The bird left the next day with speculation that the Common Crane found on Victoria Island, Canada in August is likely this same bird.",false,"Lakeview road, Del Norte county, CA",41.8111859997,-124.1779732704,,Common Crane,Grus grus,Common Crane,41
40310,2011-11-27,true,2011-11-27 12:03:35 UTC,http://www.inaturalist.org/observations/40310,https://static.inaturalist.org/photos/66878/medium.jpg,,Grus grus,false,"Hongseong, KR-GN, KR",36.6419778147,126.475982666,,Common Crane,Grus grus,Common Crane,41
45930,2011-09-10,false,2012-01-05 05:22:23 UTC,http://www.inaturalist.org/observations/45930,,,"",false,"Hjälstaviken, Sweden",59.6655278,17.3833268,,Common Crane,Grus grus,Common Crane,41
50281,2011-10-19,true,2012-02-02 13:58:32 UTC,http://www.inaturalist.org/observations/50281,,,"1 immature, scavanging",false,bingenheimer ried,50.3701602,8.8805841,,Grus grus,Grus grus,Common Crane,41
53254,2012-02-23,true,2012-02-23 20:44:58 UTC,http://www.inaturalist.org/observations/53254,https://static.inaturalist.org/photos/83955/medium.jpg?1444514027,,"Winter is over, the cranes are back!",false,echzell,50.3882796,8.8884023,6009,Common Crane,Grus grus,Common Crane,41
194311,2013-02-07,false,2013-02-08 15:56:11 UTC,http://www.inaturalist.org/observations/194311,https://static.inaturalist.org/photos/248236/medium.jpg?1444599990,,"Grus grus
Grulla común, Grua, Grou cenicento, Kurrilo arrunta
Common Crane, Grue cendrée, Kranich, Grua cenerina",false,"Bello, Aragon, Spain",40.934797,-1.475076,,Grue cendrée,Grus grus,Common Crane,41
194314,2013-02-07,false,2013-02-08 16:00:16 UTC,http://www.inaturalist.org/observations/194314,https://static.inaturalist.org/photos/248239/medium.jpg?1444600000,,"Grus grus
Grulla común, Grua, Grou cenicento, Kurrilo arrunta
Common Crane, Grue cendrée, Kranich, Grua cenerina",false,"Bello, Aragon, Spain",40.934797,-1.475076,,Grue cendrée,Grus grus,Common Crane,41
194315,2013-02-07,false,2013-02-08 16:00:33 UTC,http://www.inaturalist.org/observations/194315,https://static.inaturalist.org/photos/248240/medium.jpg?1444600002,,"Grus grus
Grulla común, Grua, Grou cenicento, Kurrilo arrunta
Common Crane, Grue cendrée, Kranich, Grua cenerina",false,"Bello, Aragon, Spain",40.934797,-1.475076,,Grue cendrée,Grus grus,Common Crane,41
194316,2013-02-07,false,2013-02-08 16:00:53 UTC,http://www.inaturalist.org/observations/194316,https://static.inaturalist.org/photos/248241/medium.jpg?1444600005,,"Grus grus
Grulla común, Grua, Grou cenicento, Kurrilo arrunta
Common Crane, Grue cendrée, Kranich, Grua cenerina",false,"Bello, Aragon, Spain",40.934797,-1.475076,,Grue cendrée,Grus grus,Common Crane,41
194317,2013-02-07,false,2013-02-08 16:01:01 UTC,http://www.inaturalist.org/observations/194317,https://static.inaturalist.org/photos/248242/medium.jpg?1444600006,,"Grus grus
Grulla común, Grua, Grou cenicento, Kurrilo arrunta
Common Crane, Grue cendrée, Kranich, Grua cenerina

",false,"Bello, Aragon, Spain",40.934925,-1.472073,,Grue cendrée,Grus grus,Common Crane,41
194336,2013-02-07,false,2013-02-08 16:06:00 UTC,http://www.inaturalist.org/observations/194336,https://static.inaturalist.org/photos/248243/medium.jpg?1444600008,,"Grus grus
Grulla común, Grua, Grou cenicento, Kurrilo arrunta
Common Crane, Grue cendrée, Kranich, Grua cenerina",false,"Bello, Aragon, Spain",40.93538,-1.474648,,Grue cendrée,Grus grus,Common Crane,41
194337,2013-02-07,false,2013-02-08 16:06:10 UTC,http://www.inaturalist.org/observations/194337,https://static.inaturalist.org/photos/248246/medium.jpg?1444600015,,"Grus grus (ejemplar juvenil)
Grulla común, Grua, Grou cenicento, Kurrilo arrunta
Common Crane, Grue cendrée, Kranich, Grua cenerina",false,"Bello, Aragon, Spain",40.935821,-1.461868,,Grue cendrée,Grus grus,Common Crane,41
194339,2013-02-07,false,2013-02-08 16:06:49 UTC,http://www.inaturalist.org/observations/194339,https://static.inaturalist.org/photos/248248/medium.jpg?1444600021,,"Grus grus
Grulla común, Grua, Grou cenicento, Kurrilo arrunta
Common Crane, Grue cendrée, Kranich, Grua cenerina",false,"Bello, Aragon, Spain",40.933305,-1.474906,,Grue cendrée,Grus grus,Common Crane,41
194596,2013-02-07,false,2013-02-08 22:13:39 UTC,http://www.inaturalist.org/observations/194596,https://static.inaturalist.org/photos/248559/medium.jpg?1444600708,,"Grus grus
Grulla común, Grua, Grou cenicento, Kurrilo arrunta
Common Crane, Grue cendrée, Kranich, Grua cenerina",false,"Bello, Aragon, Spain",40.934797,-1.475076,,Grue cendrée,Grus grus,Common Crane,41
194818,2013-02-07,false,2013-02-09 08:36:11 UTC,http://www.inaturalist.org/observations/194818,https://static.inaturalist.org/photos/248736/medium.jpg?1444600824,,"Grus grus
Grulla común, Grua, Grou cenicento, Kurrilo arrunta
Common Crane, Grue cendrée, Kranich, Grua cenerina",false,"Bello, Aragon, Spain",40.934797,-1.475076,,Grue cendrée,Grus grus,Common Crane,41
218938,2013-03-07,,2013-03-19 04:59:02 UTC,http://www.inaturalist.org/observations/218938,,,"",false,,,,,Common Crane,Grus grus,Common Crane,41
253488,2011-11-07,true,2013-05-03 22:14:12 UTC,http://www.inaturalist.org/observations/253488,https://static.inaturalist.org/photos/315818/medium.JPG?1367619267,,"",false,Rehdener Geestmoor,52.573624,8.500615,1582,Common Crane,Grus grus,Common Crane,41
378069,2012-10-26,false,2013-08-26 11:37:38 UTC,http://www.inaturalist.org/observations/378069,https://static.inaturalist.org/photos/472834/medium.jpg?1377517063,,"",false,Laguna del Camino de Villafranca ,39.416838,-3.258725,410,Grue cendrée,Grus grus,Common Crane,41
429661,2013-09-12,true,2013-10-15 15:35:21 UTC,http://www.inaturalist.org/observations/429661,https://static.inaturalist.org/photos/541268/medium.jpg?1444293372,,"",false,skagen,57.734536,10.558587,,Common Crane,Grus grus,Common Crane,41
452212,2013-11-02,true,2013-11-09 20:31:33 UTC,http://www.inaturalist.org/observations/452212,,,"",false,"La Camargue, Saint-Laurent-d'Aigouze, Llenguadoc, FR",43.587169,4.224637,5,Common Crane,Grus grus,Common Crane,41
497184,2009-03-22,true,2014-01-09 14:50:53 UTC,http://www.inaturalist.org/observations/497184,,,4 seen in a partially flooded meadow next to the road,false,Torre Chianca,40.456326,18.203351,50,Grus grus,Grus grus,Common Crane,41
503142,2013-12-29,false,2014-01-17 10:28:07 UTC,http://www.inaturalist.org/observations/503142,https://static.inaturalist.org/photos/640329/medium.jpg?1389954492,,"About 150 individuals wintering
inside the Maremma Regional Park",false,Maremma Regional Park (Toscana - ITALY),42.671708,11.010361,390,Common Crane,Grus grus,Common Crane,41
507845,2004-11-11,true,2014-01-23 01:38:15 UTC,http://www.inaturalist.org/observations/507845,https://static.inaturalist.org/photos/646513/medium.jpg?1390441102,,"",false,"Laguna Salada de Chiprana, Zaragoza, Spain.",41.240706,-0.18342,,Grue cendrée,Grus grus,Common Crane,41
550996,2014-03-02,true,2014-03-03 20:47:48 UTC,http://www.inaturalist.org/observations/550996,https://static.inaturalist.org/photos/703035/medium.JPG?1393879682,,Seiscientos individuos en tres bandadas migrando al Noreste.,false,"Calvana, Italia",43.916667,11.166667,3126,Gru,Grus grus,Common Crane,41
555321,2014-02-02,true,2014-03-06 19:48:30 UTC,http://www.inaturalist.org/observations/555321,https://static.inaturalist.org/photos/707938/medium.jpg?1394135314,,"",false,"Lake Chelekcheka, Ethiopia",8.763617,38.970566,2100,Common Crane,Grus grus,Common Crane,41
572454,2014-03-16,true,2014-03-17 06:30:10 UTC,http://www.inaturalist.org/observations/572454,https://static.inaturalist.org/photos/727532/medium.jpg?1395037841,,8 cranes,false,"Chemin de la Cariçaie 1–3, Cheseaux-Noréaz, Vaud, CH",46.785405,6.6653866667,,Grus Grus,Grus grus,Common Crane,41
578615,2014-03-22,false,2014-03-22 21:14:52 UTC,http://www.inaturalist.org/observations/578615,,,A pair circling several times over bog clearing and vocalising.,false,Großes Moor,52.615973,10.655236,111,Kranich,Grus grus,Common Crane,41
578643,2014-03-22,false,2014-03-22 21:29:32 UTC,http://www.inaturalist.org/observations/578643,,,A pair foraging in an open bog stretch next to forest.,false,Großes Moor,52.599182,10.65272,31,Kranich,Grus grus,Common Crane,41
581660,1991-06-10,true,2014-03-24 23:52:21 UTC,http://www.inaturalist.org/observations/581660,https://static.inaturalist.org/photos/739455/medium.jpg?1395705145,,This bird was reported to Records of Vermont Birds along with photographs.  Unfortunately I can not find other better images!,false,"Whiting, VT",43.863448,-73.194094,383,Grue cendrée,Grus grus,Common Crane,41
585381,,false,2014-03-27 20:46:34 UTC,http://www.inaturalist.org/observations/585381,,,"",false,"Lohe 31, Bargteheide, Schleswig-Holstein, DE",53.72339,10.261585,5,Kranich,Grus grus,Common Crane,41
747848,2010-06-12,true,2014-06-21 19:04:05 UTC,http://www.inaturalist.org/observations/747848,https://static.inaturalist.org/photos/939959/medium.jpg?1444601455,,"",false,"England, GB",,,2525,Grue cendrée,Grus grus,Common Crane,41
754017,2013-11-02,true,2014-06-25 21:15:45 UTC,http://www.inaturalist.org/observations/754017,https://static.inaturalist.org/photos/947790/medium.jpg?1403730969,,"#Animal
#GreatNature",false,"Moncalvo, Piemonte, IT",45.049718,8.274722,273,Common Crane,Grus grus,Common Crane,41
878507,2013-12-15,false,2014-09-15 21:51:38 UTC,http://www.inaturalist.org/observations/878507,https://static.inaturalist.org/photos/1115293/medium.jpg?1444396243,,"",false,Leipzig-Holzhausen,51.313889,12.466667,3800,Common Crane,Grus grus,Common Crane,41
1041614,,true,2014-10-28 01:43:35 UTC,http://www.inaturalist.org/observations/1041614,,,48 in volo da nordest a sudovest,false,"Strada Civignola 30, Civignola, Piemonte, IT",45.139337,7.967465,10,Common Crane,Grus grus,Common Crane,41
1047678,2014-10-31,false,2014-10-31 10:13:25 UTC,http://www.inaturalist.org/observations/1047678,https://static.inaturalist.org/photos/1314910/medium.JPG?1414750416,,2 flocks passing overhead in a westerly direction.,false,Hinterhof,52.265483,10.5356,41,Kranich,Grus grus,Common Crane,41
1048573,2014-10-31,true,2014-10-31 19:13:23 UTC,http://www.inaturalist.org/observations/1048573,https://static.inaturalist.org/photos/1315589/medium.jpg?1414782834,,"",false,Hergarten,50.61233,6.566391,168,Common Crane,Grus grus,Common Crane,41
1051489,2014-11-02,false,2014-11-02 19:57:12 UTC,http://www.inaturalist.org/observations/1051489,https://static.inaturalist.org/photos/1318918/medium.jpg?1444659788,,A group of 13 over Holzhausen. (Not all in photo...),false,"Händelstraße, Leipzig",51.302165,12.464508,12,Common Crane,Grus grus,Common Crane,41
1064569,2014-11-09,false,2014-11-09 16:36:31 UTC,http://www.inaturalist.org/observations/1064569,https://static.inaturalist.org/photos/1334684/medium.JPG?1415551006,,"Several flocks passing overhead in westerly direction. One very large flock (~ 200 individuals) apparently taking advantage of the city thermals and gaining altitude in a few, large circles before moving on.",false,Hinterhof,52.265547,10.535252,59,Kranich,Grus grus,Common Crane,41
1070534,2014-11-12,true,2014-11-12 21:06:43 UTC,http://www.inaturalist.org/observations/1070534,,,Flying over city Boxmeer ,false,"Boxmeer, NL-NB, NL",51.64226274,5.94902391,12,Common Crane (Grus grus),Grus grus,Common Crane,41
1071595,2014-11-10,false,2014-11-13 17:27:07 UTC,http://www.inaturalist.org/observations/1071595,https://static.inaturalist.org/photos/1343397/medium.JPG?1415899664,,"",false,Germany,52.658672,12.807312,225,Common Crane,Grus grus,Common Crane,41
1089679,2014-11-23,true,2014-11-23 16:12:24 UTC,http://www.inaturalist.org/observations/1089679,https://static.inaturalist.org/photos/1368926/medium.jpg?1416759149,,"",false,"53940 Hellenthal-Rescheid, Germany",50.438451,6.436765,84,Grue cendrée,Grus grus,Common Crane,41
1100323,2014-11-28,true,2014-11-28 17:33:10 UTC,http://www.inaturalist.org/observations/1100323,https://static.inaturalist.org/photos/1382934/medium.jpg?1417195993,,"",false,Giescheid,50.441791,6.438761,84,Common Crane,Grus grus,Common Crane,41
1116081,2014-12-06,true,2014-12-06 20:44:34 UTC,http://www.inaturalist.org/observations/1116081,https://static.inaturalist.org/photos/1402432/medium.jpg?1417898679,,"",false,"53937 Morsbach, Germany",50.56105,6.424555,,Grue cendrée,Grus grus,Common Crane,41
1121133,2014-12-08,true,2014-12-08 21:13:28 UTC,http://www.inaturalist.org/observations/1121133,https://static.inaturalist.org/photos/1408984/medium.jpg?1418073414,,One of two seen in location over last the weeks. First Texas record I believe.,false,"Lamb County, US-TX, US",33.91390568,-102.61078532,7,Grue cendrée,Grus grus,Common Crane,41
1128953,2014-11-28,true,2014-12-13 13:14:57 UTC,http://www.inaturalist.org/observations/1128953,,,a flock of 26 flew southward over the field school at about sunset,false,En Gedi Field School,31.469733,35.394569,100,Grus grus,Grus grus,Common Crane,41
1136915,2012-05-28,false,2014-12-18 04:35:11 UTC,http://www.inaturalist.org/observations/1136915,https://static.inaturalist.org/photos/1429857/medium.JPG?1418877318,,"",false,"Hjälstaviken, Uppland, Sweden",59.687616,17.378091,121,Grue cendrée,Grus grus,Common Crane,41
1136948,2012-05-28,false,2014-12-18 05:13:18 UTC,http://www.inaturalist.org/observations/1136948,https://static.inaturalist.org/photos/1429907/medium.JPG?1418879607,,"",false,"Hjälstaviken, Uppland, Sweden",59.667016,17.374356,33,Common Crane,Grus grus,Common Crane,41
1149348,2014-12-28,true,2014-12-28 17:04:45 UTC,http://www.inaturalist.org/observations/1149348,https://static.inaturalist.org/photos/1447830/medium.jpg?1419786289,,"",false,"53940 Hellenthal-Giescheid, Germany",50.441061,6.438739,,Common Crane,Grus grus,Common Crane,41
1150416,2014-12-29,true,2014-12-29 13:20:18 UTC,http://www.inaturalist.org/observations/1150416,,,70 individui In volo da nord est a sud ovest,false,"Via della Ressia 3–5, San Secondo di Pinerolo, Piemonte, IT",44.871497,7.308863,5,Grus grus,Grus grus,Common Crane,41
1150546,2014-12-29,true,2014-12-29 16:26:02 UTC,http://www.inaturalist.org/observations/1150546,https://static.inaturalist.org/photos/1449663/medium.jpg?1419870370,,"",false,53940 Hellenthal-Zinkscheid,50.472944,6.486391,47,Grue cendrée,Grus grus,Common Crane,41
1150559,2014-12-29,true,2014-12-29 16:28:56 UTC,http://www.inaturalist.org/observations/1150559,https://static.inaturalist.org/photos/1449679/medium.jpg?1419870617,,"",false,53940 Hellenthal-Zinkscheid,50.475772,6.484439,23,Grue cendrée,Grus grus,Common Crane,41
1231912,2015-02-13,true,2015-02-13 14:59:10 UTC,http://www.inaturalist.org/observations/1231912,https://static.inaturalist.org/photos/1551504/medium.jpg?1423839572,,"",false,Antweiler,50.604268,6.763287,337,Common Crane,Grus grus,Common Crane,41
1234221,2015-02-14,true,2015-02-14 15:03:34 UTC,http://www.inaturalist.org/observations/1234221,https://static.inaturalist.org/photos/1553218/medium.jpg?1423926237,,"",false,"Haus Eichen, Hellenthal",50.456999,6.457407,42,Common Crane,Grus grus,Common Crane,41
1234268,2015-02-14,true,2015-02-14 16:03:55 UTC,http://www.inaturalist.org/observations/1234268,https://static.inaturalist.org/photos/1553270/medium.jpg?1423929857,,"approximately 300 cranes.
flight direction North/east
",false,"53940 Haus_Eichen, Germany",50.459688,6.463298,84,Common Crane,Grus grus,Common Crane,41
1234271,2015-02-14,true,2015-02-14 16:07:59 UTC,http://www.inaturalist.org/observations/1234271,https://static.inaturalist.org/photos/1553274/medium.jpg?1423930084,,"approximately 70 cranes. 
flight direction North/east",false,"53940 Oberreifferscheid, Germany",50.464278,6.453063,84,Common Crane,Grus grus,Common Crane,41
1237365,2015-02-16,false,2015-02-16 17:13:18 UTC,http://www.inaturalist.org/observations/1237365,https://static.inaturalist.org/photos/1557853/medium.jpg?1444300276,,"",false,"Leipzig, Saxony, Germany",51.314733,12.254544,,Common Crane,Grus grus,Common Crane,41
1237800,2015-02-13,false,2015-02-16 22:07:24 UTC,http://www.inaturalist.org/observations/1237800,,,flying at night,false,"Braunschweig, Niedersachsen, DE",52.265608,10.53578,5,Common Crane,Grus grus,Common Crane,41
1247787,2015-02-20,true,2015-02-20 15:06:34 UTC,http://www.inaturalist.org/observations/1247787,https://static.inaturalist.org/photos/1566355/medium.jpg?1424444800,,"",false,Thürer Wiesen (7137-002),50.357728,7.295823,42,Common Crane,Grus grus,Common Crane,41
