"";"City";"lat";"lng";"country"
"1";"New York";40,6943;-73,9249;"United States"
"2";"Rio de Janeiro";-22,9083;-43,1964;"Brazil"
"3";"Luanda";-8,8383;13,2344;"Angola"
"4";"Accra";5,6037;-0,187;"Ghana"
"5";"Havana";23,1367;-82,3589;"Cuba"
"6";"Baltimore";39,3051;-76,6144;"United States"
"7";"Caracas";10,5;-66,9333;"Venezuela"
"8";"Vitoria";-20,324;-40,366;"Brazil"
"9";"Maceio";-9,6658;-35,735;"Brazil"
"10";"New Orleans";30,0687;-89,9288;"United States"
"11";"Port-au-Prince";18,5425;-72,3386;"Haiti"
"12";"Bissau";11,8592;-15,5956;"Guinea-Bissau"
"13";"Nassau";25,0667;-77,3333;"Bahamas, The"
"14";"Paramaribo";5,8667;-55,1667;"Suriname"
"15";"Port Louis";-20,1667;57,5;"Mauritius"
"16";"Sao Tome";0,3333;6,7333;"Sao Tome And Principe"
"17";"Marseille";43,2964;5,37;"France"
"18";"Liverpool";53,4;-2,9833;"United Kingdom"
"19";"Nantes";47,2181;-1,5528;"France"
"20";"Veracruz";19,1903;-96,1533;"Mexico"
"21";"Antwerp";51,2211;4,3997;"Belgium"
"22";"Santa Marta";11,2361;-74,2017;"Colombia"
"23";"Santiago de Cuba";20,0283;-75,8206;"Cuba"
"24";"Santos";-23,9608;-46,3339;"Brazil"
"25";"Stockton";37,9765;-121,3109;"United States"
"26";"Campos";-21,7523;-41,3304;"Brazil"
"27";"Cumana";10,45;-64,1667;"Venezuela"
"28";"Bilbao";43,2622;-2,9533;"Spain"
"29";"Pensacola";30,4427;-87,1886;"United States"
"30";"Mobile";30,6783;-88,1162;"United States"
"31";"Vigo";42,2358;-8,7267;"Spain"
"32";"La Guaira";10,6;-66,9331;"Venezuela"
"33";"Bordeaux";44,84;-0,58;"France"
"34";"Le Havre";49,49;0,1;"France"
"35";"Campeche";19,85;-90,5306;"Mexico"
"36";"Cork";51,9;-8,4731;"Ireland"
"37";"Trieste";45,6361;13,8042;"Italy"
"38";"Gibraltar";36,1324;-5,3781;"Gibraltar"
"39";"Cabo Frio";-22,8789;-42,0189;"Brazil"
"40";"Santander";43,4667;-3,8;"Spain"
"41";"Cienfuegos";22,1456;-80,4364;"Cuba"
"42";"Saint-Marc";19,1167;-72,7;"Haiti"
"43";"Poole";50,7167;-1,9833;"United Kingdom"
"44";"Macae";-22,38;-41,79;"Brazil"
"45";"New Bedford";41,6697;-70,9428;"United States"
"46";"Paranagua";-25,5279;-48,5345;"Brazil"
"47";"Matanzas";23,0494;-81,5736;"Cuba"
"48";"Spanish Town";17,9961;-76,9547;"Jamaica"
"49";"Porto Seguro";-16,4296;-39,08;"Brazil"
"50";"Preston";53,759;-2,699;"United Kingdom"
"51";"Setubal";38,5243;-8,8926;"Portugal"
"52";"Montego Bay";18,4667;-77,9167;"Jamaica"
"53";"La Rochelle";46,1591;-1,1517;"France"
"54";"Inhambane";-23,865;35,3833;"Mozambique"
"55";"Cayenne";4,933;-52,33;"French Guiana"
"56";"Maldonado";-34,9088;-54,9581;"Uruguay"
"57";"Lorient";47,75;-3,36;"France"
"58";"Perth Amboy";40,5203;-74,2724;"United States"
"59";"Saint-Brieuc";48,5136;-2,7653;"France"
"60";"Liberia";10,6338;-85,4333;"Costa Rica"
"61";"Port-de-Paix";19,9318;-72,8295;"Haiti"
"62";"Annapolis";38,9706;-76,5047;"United States"
"63";"Jacmel";18,235;-72,537;"Haiti"
"64";"Kendal";54,326;-2,745;"United Kingdom"
"65";"Jeremie";18,6339;-74,1184;"Haiti"
"66";"Cowes";50,7595;-1,3002;"United Kingdom"
"67";"Saint Ann's Bay";18,435;-77,2017;"Jamaica"
"68";"Port Maria";18,3703;-76,8903;"Jamaica"
"69";"Black River";18,0264;-77,8487;"Jamaica"
"70";"Basse-Terre";16;-61,7167;"Guadeloupe"
"71";"Morant Bay";17,8814;-76,4092;"Jamaica"
"72";"Dunkerque";51,0383;2,3775;"France"
"73";"Ubatuba";-23,4339;-45,0708;"Brazil"
"74";"Sao Sebastiao";-23,76;-45,41;"Brazil"
"75";"St. Augustine";29,8977;-81,31;"United States"
"76";"Baracoa";20,3444;-74,4956;"Cuba"
"77";"Saint-Nazaire";47,2806;-2,2086;"France"
"78";"Tonsberg";59,2981;10,4236;"Norway"
