grade,user_name,date,word,name,row_n,id,gender,species,birthday,personality,song,phrase,full_id,url,average_grade
0,Outryder86,2020-03-20,spike,spike,416,spike,male,rhino,6-17,cranky,NA,punk,villager-spike,https://villagerdb.com/images/villagers/thumb/spike.de637c8.png,0
0,ElaineB,2020-03-20,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
8,ThornBattleborn,2020-03-20,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
4,KC1994,2020-03-21,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
4,KC1994,2020-03-21,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
2,melkorsmaia,2020-03-21,lucky,lucky,264,lucky,male,dog,11-4,lazy,K.K. Dirge,rrr-owch,villager-lucky,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png,4.555555555555555
2,melkorsmaia,2020-03-21,lucky,lucky,264,lucky,male,dog,11-4,lazy,K.K. Dirge,rrr-owch,villager-lucky,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png,4.555555555555555
0,ThisGameSucks_1,2020-03-21,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
8,buffmckagan,2020-03-22,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
8,buffmckagan,2020-03-22,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Reypipas,2020-03-22,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
0,Reypipas,2020-03-22,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
0,Thrazghul,2020-03-23,drift,drift,143,drift,male,frog,10-9,jock,K.K. Country,brah,villager-drift,https://villagerdb.com/images/villagers/thumb/drift.8959814.png,0
5,MaeBeaInTheWood,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,BuckyMcDonuts,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
9,Richsince95,2020-03-24,cherry,cherry,95,cherry,female,dog,5-11,uchi,K.K. Fusion,what what,villager-cherry,https://villagerdb.com/images/villagers/thumb/cherry.d4d77df.png,6.166666666666667
10,Divergente98,2020-03-24,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
0,Odande,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Odande,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,Robert_C,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,Cutsupreme1,2020-03-24,cube,cube,119,cube,male,penguin,1-29,lazy,K.K. Technopop,d-d-dude,villager-cube,https://villagerdb.com/images/villagers/thumb/cube.73bb409.png,5.75
10,Medix94,2020-03-24,fauna,fauna,160,fauna,female,deer,3-26,normal,K.K. Stroll,dearie,villager-fauna,https://villagerdb.com/images/villagers/thumb/fauna.c2822f0.png,5.5
9,Torchward,2020-03-24,tad,tad,434,tad,male,frog,8-3,jock,Wandering,sluuuurp,villager-tad,https://villagerdb.com/images/villagers/thumb/tad.e747734.png,9.666666666666666
0,Rase,2020-03-24,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
0,AlwayzB,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,BobTheCat,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,BobTheCat,2020-03-24,biff,biff,46,biff,male,hippo,3-29,jock,The K. Funk,squirt,villager-biff,https://villagerdb.com/images/villagers/thumb/biff.ab45180.png,10
4,grancesar,2020-03-24,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
