season,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson
1,2,10,0,10,0,0,0,0,0,0,0,10,13,10,13,13,0,11
2,3,11,11,12,0,0,9,0,0,0,12,12,13,12,13,13,12,12
3,2,9,11,13,0,0,5,1,0,1,8,8,9,11,12,13,12,13
4,2,11,11,12,0,0,10,1,0,1,10,7,9,10,13,12,9,12
5,2,7,10,8,0,0,10,2,1,0,10,6,4,9,13,10,7,12
6,3,12,12,13,0,0,12,0,0,0,11,6,5,11,13,13,12,13
7,0,12,0,10,10,0,10,1,0,9,9,4,4,9,13,10,11,10
8,2,13,0,12,11,0,12,0,0,12,11,3,3,8,13,13,12,13
9,3,13,0,11,13,0,8,0,2,13,13,1,4,8,13,13,12,13
10,2,13,0,12,13,0,10,0,1,13,13,2,11,9,13,13,11,12
11,2,10,0,10,13,0,9,0,2,12,7,0,9,8,13,13,9,11
12,2,12,0,12,12,0,11,1,2,13,11,3,9,9,13,13,11,10
13,3,8,0,12,13,0,9,0,0,13,11,3,8,10,13,13,11,10
14,3,10,0,12,13,0,12,1,0,13,13,5,11,11,13,13,13,13
15,4,10,0,12,13,0,9,0,1,13,12,2,12,9,13,13,11,13
16,4,10,0,11,11,0,10,0,0,12,11,2,5,10,12,13,11,12
17,4,13,0,13,13,0,10,0,2,13,13,2,7,10,13,13,13,13
18,5,11,0,12,13,0,10,2,1,13,13,1,5,11,13,13,11,13
19,4,10,0,12,13,0,8,0,4,13,12,2,9,7,13,13,12,13
20,2,11,0,11,13,0,12,0,2,13,13,2,6,11,13,12,12,13
21,6,9,0,11,11,0,11,0,5,13,12,3,7,10,13,11,12,12
22,3,11,0,12,13,1,11,0,1,13,12,3,9,11,13,13,12,13
23,4,10,0,11,12,0,8,0,1,13,9,4,12,8,13,13,11,12
24,6,9,0,9,6,0,8,0,4,13,12,5,12,12,13,6,10,13
25,6,10,0,12,12,0,11,0,2,12,5,2,11,12,13,12,12,13
26,5,9,0,11,10,0,10,0,2,12,9,4,11,10,13,10,9,11
27,3,8,0,10,9,0,9,3,8,13,7,3,7,7,13,10,8,13
28,3,11,0,11,6,0,10,0,2,12,13,2,8,12,13,6,11,12
29,3,10,0,9,11,0,8,0,2,13,10,4,10,11,12,12,9,13
30,5,9,0,11,13,0,11,0,4,13,9,2,11,11,13,13,11,13
31,3,9,0,9,13,0,9,2,2,13,12,3,9,9,13,13,10,13
