title,origin,language_rank
Java,1995 - James Gosling,0
JavaScript,1995 - Brendan Eich,1
C,1972 - Dennis Ritchie,2
Python,1991 - Guido van Rossum,3
SQL,1974 - Donald D. Chamberlin and Raymond F. Boyce,4
C++,1985 - Bjarne Stroustrup,6
HTML,1991 - Tim Berners-Lee,5
XML,1996 - NA,7
PHP,1995 - Rasmus Lerdorf,8
Perl,1987 - Larry Wall,9
MATLAB,1984 - Cleve Moler,10
Ruby,1995 - Yukihiro Matsumoto,12
C#,2000 - Anders Hejlsberg,11
MySQL,1995 - David Axmark and Michael Widenius,14
Fortran,1957 - John Backus,13
CSS,1996 - Håkon Wium Lie,19
R,1993 - Ross Ihaka and Robert Gentleman,15
JSON,2001 - Douglas Crockford,16
Go,2009 - Rob Pike and Ken Thompson and Robert Griesemer,17
Scala,2004 - Martin Odersky,20
Swift,2014 - Chris Lattner,22
Ada,1980 - Jean Ichbiah,21
COBOL,1959 - Howard Bromberg and Norman Discount and Vernon Reeves and Jean E. Sammet and William Selden and Gertrude Tierney and Grace Hopper,18
Rust,2010 - Graydon Hoare,25
PostgreSQL,1986 - Marc G. Fournier,23
Kotlin,2011 - Andrey Breslav,24
Arduino Programming Language,2005 - NA,26
PowerShell,2006 - Jeffrey Snover,27
Pascal,1970 - Niklaus Wirth,28
Haskell,1990 - Paul Hudak and John Hughes,30
TypeScript,2012 - Anders Hejlsberg,31
SAS,1976 - Anthony James Barr,35
ARM,1985 - Sophie Wilson and Steve Furber and Acorn Computers,29
Lisp,1958 - John McCarthy,32
Lua,1993 - Roberto Ierusalimschy,33
Julia,2012 - Jeff Bezanson and Alan Edelman and Stefan Karpinski and Viral B. Shah,34
Prolog,1972 - Alain Colmerauer,38
Node.js,2009 - Ryan Dahl,43
HTTP,1989 - NA,36
Objective-C,1984 - Brad Cox,42
Clojure,2007 - Rich Hickey,40
Scheme,1970 - Guy Steele and Gerald Jay Sussman,49
Assembly language,1960 - NA,37
Erlang,1986 - Joe Armstrong and Robert Virding and Mike Williams,47
Bash,1989 - Brian Fox,39
Mathematica,1988 - Stephen Wolfram,44
ISBN,1970 - NA,41
Elixir,2011 - José Valim,45
CUDA,2007 - NA,48
Dart,2011 - Lars Bak,50
Modula-2,1978 - Niklaus Wirth,51
Visual Basic,1991 - NA,46
Tcl,1988 - John Ousterhout,52
ActionScript,1998 - Gary Grossman,53
VBA,1993 - NA,54
BASIC,1964 - John G. Kemeny and Thomas E. Kurtz,59
Verilog,1984 - NA,57
awk,1977 - Alfred Aho and Peter J. Weinberger and Brian Kernighan,60
Delphi,1995 - NA,61
Solidity,2014 - Christian Reitwiessner and Alex Beregszaszi,56
F#,2005 - Don Syme,64
Regular Expressions,1951 - NA,55
OCaml,1996 - Xavier Leroy,68
ASP,1996 - NA,72
Eiffel,1986 - Bertrand Meyer,70
Crystal,2014 - Ary Borenszweig and Juan Wajnerman and Brian Cardiff,62
Smalltalk,1972 - Alan Kay and Dan Ingalls and Adele Goldberg,76
Yacc,1975 - NA,71
Modula-3,1986 - NA,73
Elm,2012 - Evan Czaplicki,66
Racket,1994 - Matthias Felleisen and Matthew Flatt and Robert Bruce Findler and Shriram Krishnamurthi,74
Groovy,2003 - James Strachan,78
D,2001 - Walter Bright and Andrei Alexandrescu,80
Common Lisp,1984 - Scott Fahlman and Richard P. Gabriel and David A. Moon and Kent Pitman and Guy Steele and Dan Weinreb,85
Reason,2016 - NA,58
UML,1996 - NA,82
Sage,2005 - NA,83
Maple,1982 - NA,65
CoffeeScript,2009 - Jeremy Ashkenas,63
VHDL,1983 - NA,88
APL,1964 - Kenneth E. Iverson,90
OpenCL,2009 - NA,93
MediaWiki,2002 - NA,97
YAML,2001 - NA,67
DOI,2000 - NA,75
REST,1996 - NA,77
XQuery,2007 - NA,100
PostScript,1982 - John Warnock and Chuck Geschke and Doug Brotz and Ed Taft and Bill Paxton,107
Nginx,2004 - NA,91
GraphQL,2012 - Lee Byron,86
SPSS,1968 - NA,103
PowerPC,1992 - NA,69
TLS,1999 - NA,89
FTP,1971 - NA,81
SOAP,1998 - Dave Winer and Don Box and Bob Atkinson and Mohsen Al-Ghosein,84
Literate CoffeeScript,2013 - Jeremy Ashkenas,105
Rexx,1979 - Mike Cowlishaw,115
X86,1978 - NA,79
TCP,1974 - NA,95
Nim,2008 - Andreas Rumpf,102
ANTLR,1992 - NA,118
Scratch,2002 - NA,96
Pug,2010 - Tj Holowaychuk,113
LFE,2008 - Robert Virding,117
Smali,2010 - NA,92
LaTeX,1985 - NA,87
Markdown,2004 - John Gruber and Aaron Swartz,94
Visual Basic .NET,2001 - NA,108
Liquid,2008 - Tobias Lütke,104
Forth,1970 - Charles H. Moore,120
SMTP,1982 - NA,98
PureBasic,1998 - NA,119
ML,1973 - Robin Milner,123
Haxe,2005 - Nicolas Cannasse,112
VBScript,1996 - NA,125
WebAssembly,2015 - Alon Zakai,114
CIL,2000 - NA,127
Chapel,2004 - David Callahan and Hans Zima and Brad Chamberlain and John Plevyak,109
Oberon,1986 - Niklaus Wirth,129
LabVIEW G,1986 - NA,99
Applescript,1993 - NA,128
Oz,1991 - Gert Smolka,126
Lasso,1995 - Kyle Jessup,124
fish,2005 - NA,121
LLVM IR,2003 - NA,101
ECMAScript,1997 - Brendan Eich,106
Red,2011 - Nenad Rakocevic,111
Simula,1965 - Ole-Johan Dahl,137
Protocol Buffers,2008 - NA,135
Idris,2014 - Edwin Brady,132
Logo,1967 - NA,139
SQLite,2000 - Dwayne Richard Hipp,110
UDP,1980 - NA,116
AMPL,1985 - Robert Fourer and David Gay and Brian Kernighan,136
sed,1974 - Lee E. McMahon,140
PicoLisp,1988 - Alexander Burger,141
Tex,1978 - NA,131
V,2019 - Alexander Medvednikov,143
BCPL,1966 - Martin Richards,146
PL/SQL,1991 - NA,147
Standard ML,1990 - NA,150
Dylan,1992 - NA,149
REBOL,1997 - Carl Sassenrath,153
Processing,2001 - NA,148
Hack,2014 - Julien Verlaguet and Alok Menghrajani and Drew Paroski,152
MIPS architecture,1985 - NA,122
Algol,1958 - NA,160
OWL,2004 - NA,156
URL,1994 - Tim Berners-Lee,133
Org,2003 - Carsten Dominik,154
PureScript,2013 - Phil Freeman,138
Brainfuck,1993 - Urban Müller,145
SVG,2001 - NA,130
DOT,2007 - NA,159
FLUX,2014 - Paul O’Shannessy,157
Fantom,2005 - NA,166
Squirrel,2003 - Alberto Demichelis,167
EuLisp,1985 - NA,175
Monkey,2011 - Anthony Diamond,169
FLEX,1987 - Vern Paxson,142
Limbo,1995 - Rob Pike,171
Agda,2007 - Ulf Norell and Catarina Coquand,172
BlitzBasic,2000 - NA,173
ABAP,1983 - NA,134
MUMPS,1966 - Neil Pappalardo,180
Occam,1983 - David May,181
GAME,1977 - NA,155
HAML,2006 - Hampton Lintorn-Catlin,151
RDF,1997 - NA,144
Emacs Lisp,1985 - Richard Stallman,184
ColdFusion,1995 - Joseph J. Allaire,178
Jinja,2006 - Armin Ronacher,163
Coq,1989 - NA,182
AutoIt,1999 - Jonathan Bennett,183
x86 Assembly,1972 - NA,188
Makefile,1976 - Stuart Feldman,192
Vala,2006 - NA,200
J,1990 - Kenneth E. Iverson and Roger Hui,187
Nearley,2014 - NA,161
NewLisp,1991 - Lutz Mueller,197
Nemerle,2003 - NA,198
MIME,1991 - Nathaniel Borenstein and Ned Freed,158
Zig,2015 - Andrew Kelley,189
XAML,2008 - NA,185
Jison,2009 - NA,170
MoonScript,2011 - NA,164
Icon,1977 - Ralph Griswold,201
Terra,2012 - NA,165
TOML,2013 - Tom Preston-Werner,193
X10,2004 - Kemal Ebcioğlu and Saravanan Arumugam and Vijay Saraswat and Vivek Sarkar,202
Ballerina,2015 - Sanjiva Weerawarana and James Clark and Sameera Jayasoma and Hasitha Aravinda and Srinath Perera and Frank Leymann,176
Scilab,1990 - NA,207
Io,2002 - Steve Dekorte,209
Flow,2014 - NA,203
Turing,1982 - Ric Holt,204
idyll,2017 - NA,162
RPG,1959 - NA,210
Mercury,1995 - Zoltan Somogyi,208
Reverse Polish notation,1953 - NA,168
QML,2009 - NA,205
IDL,1977 - David Stern,213
Frege,2011 - NA,179
xBase,1986 - NA,214
GNU Octave,1988 - NA,190
Boo,2003 - Rodrigo B. De Oliveira,219
JSP,1999 - NA,174
PostCSS,2013 - NA,216
Object Pascal,1986 - NA,234
Slim,2011 - NA,196
MicroPython,2014 - Damien P. George,221
Hy,2013 - Paul Tagliamonte,195
ALGOL 60,1960 - John Backus and Friedrich L. Bauer and Julien Green and Charles Katz and John McCarthy and Peter Naur and Alan Perlis and Heinz Rutishauser and Klaus Samelson and Adriaan van Wijngaarden and Bernard Vauquois and Joseph Henry Wegstein and Michael Woodger,239
Zephir,2013 - Andres Gutierrez,199
Arc,2001 - Paul Graham and Robert Morris,235
SPARQL,2008 - NA,228
Ceylon,2011 - Gavin King,224
LOLCODE,2007 - Adam Lindsay,225
Opa,2011 - NA,237
SPARC,1987 - NA,177
SuperCollider,1996 - NA,238
SystemVerilog,2002 - NA,236
QBasic,1991 - NA,222
Clean,1987 - NA,230
Lean,2015 - Leonardo de Moura,194
SNOBOL,1962 - David J. Farber and Ralph E. Griswold,245
Cython,2007 - NA,243
RFC,1969 - Steve Crocker,186
Bison,1985 - NA,247
XPath,1999 - NA,191
Inform,1993 - Graham Nelson,246
CLIPS,1985 - NA,240
reStructuredText,2002 - David Goodger,252
Pony,2012 - NA,217
RobotFramework,2013 - NA,232
PL/pgSQL,1998 - Jan Wieck,259
Factor,2003 - Slava Pestov,258
Self,1987 - David Ungar,267
Stata,1985 - William Gould,241
Multi-User Forth,1995 - NA,253
Nextflow,2013 - NA,215
JSON5,2012 - Aseem Kishore,227
SI,1960 - NA,223
Pike,1994 - Fredrik Hübinette,264
grep,1974 - NA,206
EDN,2012 - NA,220
PL/I,1964 - NA,212
Isabelle,1986 - NA,268
WSDL,2000 - NA,254
NetLogo,1999 - Uri Wilensky,244
MiniD,2006 - Jarrett Billingsley,273
API Blueprint,2013 - NA,262
RAML,2013 - NA,251
HCL,2014 - NA,248
Perl 6,2015 - Larry Wall,287
Click,1999 - NA,218
ATS,2013 - Hongwei Xi,278
AutoLISP,1986 - David Betz,288
S-algol,1979 - NA,285
IA-32,1985 - NA,211
Csound,1985 - NA,284
F*,2014 - NA,229
Ini,1987 - NA,250
Sass,2006 - Hampton Lintorn-Catlin,257
Turtle,2011 - NA,231
Lex,1975 - NA,286
AGC,1966 - NA,249
Gnuplot,1986 - NA,296
Xojo,1996 - NA,297
Morse code,1837 - NA,265
FoxPRO,1992 - NA,299
FlatBuffers,2014 - NA,270
ClojureScript,2011 - NA,282
Ioke,2008 - Ola Bini,306
INTERCAL,1972 - NA,302
Java Bytecode,1995 - NA,226
S-expressions,1960 - NA,233
E,1997 - Mark S. Miller,308
Alloy,1997 - NA,300
Wren,2013 - Bob Nystrom,277
odin,2016 - NA,269
AXIOM,1992 - NA,256
LiveScript,2011 - Jeremy Ashkenas and Satoshi Murakami and George Zahariev,310
RDoc,2004 - NA,305
CSP,1978 - NA,266
Modelica,1997 - NA,312
Embedded Crystal,2016 - NA,307
Office Open XML,2006 - NA,255
POV-Ray SDL,1991 - Chris Cason,263
Microsoft BASIC,1975 - NA,242
Clipper,1985 - NA,321
ERB,2004 - NA,315
YARA,2008 - Victor M. Alvarez,295
Batchfile,1985 - NA,272
MariaDB,2009 - NA,260
Whitespace,2003 - NA,261
GAMS,1963 - NA,314
DNS,1985 - Paul Mockapetris,283
SYMBOL,1971 - NA,275
B,1969 - Ken Thompson and Dennis Ritchie,293
AsciiDoc,2002 - NA,326
BPMN,2004 - NA,271
Pod,1997 - NA,325
M4,1977 - Brian Kernighan and Dennis Ritchie,324
Datalog,1977 - NA,327
Objective-J,2008 - NA,322
Marko,2014 - NA,313
Dafny,2009 - K. Rustan M. Leino,280
C--,1997 - Simon Peyton Jones,276
Ninja,2012 - Evan Martin,290
Dhall,2017 - NA,301
Base64,1987 - NA,292
Wolfram Language,1988 - Stephen Wolfram,332
Oxygene,2002 - NA,335
Gambas,1999 - Benoît Minisini,339
JSON-LD,2010 - Dave Longley,309
Q,2003 - Arthur Whitney,337
PEG.js,2010 - David Majda,317
HyperTalk,1987 - Dan Winkler,347
TLA,1999 - Leslie Lamport,274
SPARK,1988 - NA,336
halide,2010 - NA,319
Befunge,1993 - Chris Pressey,343
Puppet,2005 - NA,291
Speedie,2022 - Theodore H Smith,334
Miranda,1985 - David Turner,351
